Model,Location,Year,Km,FuelType,Transmission,Owner,Efficiency,Engine_cc,Power_bhp,Seats,Price_US_Dollars
Mahindra Scorpio S4 7 Seater,Mumbai,2014,"83,128",Diesel,Manual,First,15.40,2200,120.00,7,"$10,459 "
Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2013,"83,165",Diesel,Manual,First,12.80,2400,102.00,8,"$16,131 "
Toyota Corolla Altis 1.8 GL,Kochi,2012,"83,184",Gasoline,Manual,First,14.28,1800,138.03,5,"$8,732 "
Maruti Swift VDI,Coimbatore,2014,"83,274",Diesel,Manual,First,22.90,1200,74.00,5,"$8,129 "
Maruti Swift Dzire VDi,Hyderabad,2013,"83,327",Diesel,Manual,First,19.30,1200,73.90,5,"$8,143 "
Chevrolet Beat LT,Kochi,2012,"83,381",Gasoline,Manual,First,18.60,1200,79.40,5,"$3,103 "
Honda City 1.5 S MT,Chennai,2013,"83,432",Gasoline,Manual,First,17.00,1400,118.00,5,"$8,283 "
Ford Classic 1.4 Duratorq Titanium,Chennai,2014,"83,500",Diesel,Manual,Second,19.68,1400,67.00,5,"$4,212 "
Hyundai Verna 1.6 SX,Coimbatore,2014,"83,558",Diesel,Manual,First,22.32,1600,126.32,5,"$9,799 "
Chevrolet Beat Diesel LS,Kochi,2016,"83,629",Diesel,Manual,First,25.44,1000,56.30,5,"$4,422 "
Hyundai Verna 1.6 SX,Hyderabad,2012,"83,678",Diesel,Manual,First,22.32,1600,126.32,5,"$7,721 "
Maruti Wagon R LXI BSIII,Jaipur,2009,"83,816",Gasoline,Manual,Second,14.00,1000,64.00,5,"$2,597 "
Maruti Wagon R LXI CNG,Hyderabad,2013,"83,875",CNG,Manual,Second,26.60,1000,58.16,5,"$4,142 "
Toyota Corolla H4,Chennai,2005,"83,929",Gasoline,Automatic,First,11.30,1800,125.00,5,"$3,650 "
Hyundai Creta 1.6 CRDi SX,Jaipur,2015,"83,950",Diesel,Manual,First,19.67,1600,126.20,5,"$13,969 "
Maruti 800 AC BSIII,Hyderabad,2011,"83,969",Gasoline,Manual,First,16.10,800,37.00,4,"$1,825 "
Hyundai i10 Era,Jaipur,2008,"84,000",Gasoline,Manual,Second,19.81,1000,68.05,5,"$2,527 "
Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2010,"84,000",Diesel,Manual,Second,17.80,1400,68.00,5,"$3,383 "
Hyundai i10 Sportz,Bangalore,2008,"84,000",Gasoline,Manual,First,20.36,1200,78.90,5,"$3,510 "
Volkswagen Polo Diesel Comfortline 1.2L,Pune,2010,"84,000",Diesel,Manual,Second,22.07,1200,73.90,5,"$4,057 "
Hyundai i10 Sportz 1.1L,Pune,2013,"84,000",Gasoline,Manual,First,19.81,1000,68.05,5,"$4,142 "
Honda City V MT,Mumbai,2011,"84,000",Gasoline,Manual,First,16.80,1400,116.30,5,"$4,563 "
Ford Figo Diesel EXI,Hyderabad,2015,"84,000",Diesel,Manual,First,20.00,1400,68.05,5,"$5,335 "
Toyota Etios Liva 1.4 GD,Delhi,2013,"84,000",Diesel,Manual,First,23.59,1400,67.04,5,"$5,405 "
Skoda Laura Elegance 2.0 TDI CR AT,Pune,2010,"84,000",Diesel,Automatic,First,20.00,2000,138.10,5,"$6,247 "
Maruti Swift VDI,Pune,2014,"84,000",Diesel,Manual,First,22.90,1200,74.00,5,"$7,370 "
Maruti Swift VDI,Hyderabad,2013,"84,000",Diesel,Manual,First,28.40,1200,74.00,5,"$7,932 "
Honda Accord 2001-2003 2.3 VTi L AT,Bangalore,2010,"84,000",Gasoline,Automatic,Second,11.10,2400,142.00,5,"$9,125 "
Mahindra Scorpio 2009-2014 LX 2WD 7S,Mumbai,2014,"84,000",Diesel,Manual,First,12.05,2200,120.00,7,"$9,617 "
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,"84,000",Diesel,Automatic,First,19.30,2000,141.00,5,"$15,092 "
Skoda Yeti Elegance 4X2,Jaipur,2016,"84,000",Diesel,Manual,First,17.72,2000,108.50,5,"$15,443 "
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,"84,000",Diesel,Automatic,First,15.73,2000,174.33,5,"$24,919 "
Hyundai i10 Magna 1.2,Hyderabad,2009,"84,045",Gasoline,Manual,First,20.36,1200,78.90,5,"$4,001 "
Ford EcoSport 1.0 Ecoboost Titanium Plus,Bangalore,2014,"84,056",Gasoline,Manual,First,18.88,1000,123.24,5,"$9,476 "
Maruti Zen LXI,Hyderabad,2005,"84,060",Gasoline,Manual,Second,17.30,1000,60.00,5,"$1,755 "
Skoda Laura Ambition 2.0 TDI CR MT,Hyderabad,2011,"84,062",Diesel,Manual,First,20.00,2000,108.50,5,"$8,143 "
Maruti Swift Ldi BSIII,Chennai,2010,"84,072",Diesel,Manual,First,17.80,1200,75.00,5,"$4,843 "
Maruti Ciaz VDi Plus,Jaipur,2016,"84,085",Diesel,Manual,First,26.21,1200,88.50,5,"$9,687 "
Mercedes-Benz S-Class 320 L,Coimbatore,2007,"84,143",Gasoline,Manual,First,13.00,3000,210.00,5,"$23,993 "
Maruti Wagon R LXI BSIII,Hyderabad,2007,"84,169",Gasoline,Manual,First,14.00,1000,64.00,5,"$3,089 "
Maruti Swift Dzire VDI,Hyderabad,2013,"84,175",Diesel,Manual,First,23.40,1200,74.00,5,"$9,757 "
Maruti SX4 ZXI MT BSIV,Coimbatore,2013,"84,360",Gasoline,Manual,First,15.50,1600,103.30,5,"$5,784 "
Land Rover Range Rover 3.6 TDV8 Vogue SE,Coimbatore,2012,"84,384",Diesel,Automatic,First,10.20,4000,308.00,7,"$73,761 "
Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2015,"84,415",Diesel,Manual,First,12.99,2400,100.60,8,"$18,953 "
Honda City i DTEC V,Kochi,2016,"84,580",Diesel,Manual,First,26.00,1400,98.60,5,"$9,589 "
Hyundai EON D Lite Plus,Hyderabad,2013,"84,600",Gasoline,Manual,Second,21.10,800,55.20,5,"$3,510 "
Honda Amaze SX i-DTEC,Kolkata,2014,"84,677",Diesel,Manual,First,25.80,1400,98.60,5,"$4,212 "
Mahindra XUV500 W8 4WD,Coimbatore,2015,"84,725",Diesel,Manual,First,15.10,2200,140.00,7,"$16,285 "
Hyundai i10 Sportz 1.2,Hyderabad,2011,"84,912",Gasoline,Manual,First,20.36,1200,78.90,5,"$4,914 "
Tata Sumo EX,Coimbatore,2015,"84,931",Diesel,Manual,First,15.30,3000,83.80,7,"$7,427 "
Ford Ikon 1.3 Flair,Pune,2006,"85,000",Gasoline,Manual,Second,13.80,1200,70.00,5,$969 
Honda City 1.3 EXI,Ahmedabad,2002,"85,000",Gasoline,Manual,First,13.00,1400,90.00,5,"$1,685 "
Ford Fiesta 1.6 ZXi Duratec,Pune,2010,"85,000",Gasoline,Manual,First,15.30,1600,101.00,5,"$2,050 "
Maruti Alto LXi BSIII,Hyderabad,2009,"85,000",Gasoline,Manual,Second,19.70,800,46.30,5,"$2,527 "
Maruti A-Star Vxi,Pune,2009,"85,000",Gasoline,Manual,Third,19.00,1000,66.10,5,"$2,527 "
Maruti SX4 ZXI MT BSIV,Pune,2008,"85,000",Gasoline,Manual,First,16.51,1600,103.20,5,"$3,510 "
Ford Fiesta 1.4 TDCi EXI,Bangalore,2011,"85,000",Diesel,Manual,First,17.80,1400,68.00,5,"$4,492 "
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Chennai,2009,"85,000",Diesel,Manual,Second,15.00,1800,105.00,5,"$4,914 "
Tata Xenon XT EX 4X2,Pune,2014,"85,000",Diesel,Manual,First,13.49,2200,138.03,5,"$4,914 "
Skoda Laura Ambiente 2.0 TDI CR MT,Delhi,2011,"85,000",Diesel,Manual,Second,20.00,2000,108.50,5,"$5,124 "
Mahindra Scorpio SLE BSIV,Delhi,2011,"85,000",Diesel,Manual,First,12.05,2200,120.00,8,"$7,370 "
Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,"85,000",Gasoline,Automatic,Second,10.50,1800,157.70,5,"$7,721 "
Volkswagen Vento 1.5 TDI Highline,Hyderabad,2015,"85,000",Diesel,Manual,First,20.34,1400,103.20,5,"$8,423 "
Mahindra Xylo D4,Chennai,2016,"85,000",Diesel,Manual,First,14.95,2400,93.70,7,"$8,634 "
Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,2012,"85,000",Diesel,Automatic,First,11.79,2200,120.00,7,"$8,774 "
Hyundai Verna 1.6 CRDi S,Chennai,2015,"85,000",Diesel,Manual,First,23.90,1600,126.20,5,"$8,845 "
Honda Accord 2.4 AT,Chennai,2011,"85,000",Gasoline,Automatic,Second,11.70,2400,177.60,5,"$10,529 "
Mitsubishi Pajero 2.8 GLX Sports,Hyderabad,2008,"85,000",Diesel,Manual,First,9.50,2800,118.60,6,"$11,217 "
Nissan Terrano XV Premium 110 PS,Hyderabad,2013,"85,000",Diesel,Manual,First,19.01,1400,108.50,5,"$11,933 "
Maruti Vitara Brezza ZDi Plus Dual Tone,Pune,2016,"85,000",Diesel,Manual,First,24.30,1200,88.50,5,"$12,495 "
Mercedes-Benz E-Class 280 CDI,Hyderabad,2009,"85,000",Diesel,Automatic,First,11.00,3000,198.50,5,"$14,025 "
BMW X1 sDrive20d,Chennai,2012,"85,000",Diesel,Automatic,Third,17.05,2000,184.00,5,"$14,039 "
Audi A4 2.0 TDI,Hyderabad,2011,"85,000",Diesel,Automatic,First,16.55,2000,147.51,5,"$19,584 "
Audi A6 2011-2015 2.0 TDI Premium Plus,Pune,2013,"85,000",Diesel,Automatic,First,17.68,2000,174.33,5,"$29,482 "
Mercedes-Benz E-Class E 220 d,Hyderabad,2013,"85,000",Diesel,Automatic,First,16.10,2000,194.00,5,"$29,482 "
Land Rover Freelander 2 SE,Pune,2014,"85,000",Diesel,Automatic,Second,12.39,2200,147.51,5,"$32,290 "
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,"85,000",Diesel,Automatic,First,11.74,3000,254.80,5,"$39,309 "
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,"85,000",Diesel,Automatic,First,11.30,3000,254.80,7,"$54,401 "
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2010,"85,001",Diesel,Automatic,Second,12.00,3000,224.00,7,"$39,309 "
Nissan Micra XE,Pune,2010,"85,046",Gasoline,Manual,Second,18.06,1200,75.00,5,"$3,229 "
Skoda Laura Ambition 2.0 TDI CR AT,Coimbatore,2014,"85,071",Diesel,Automatic,First,20.00,2000,138.10,5,"$13,688 "
Maruti Ritz VDi,Hyderabad,2012,"85,112",Diesel,Manual,First,23.20,1200,73.94,5,"$4,759 "
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2012,"85,122",Diesel,Manual,First,12.99,2400,100.00,7,"$11,512 "
Hyundai i20 1.2 Sportz,Hyderabad,2010,"85,155",Gasoline,Manual,First,17.00,1200,80.00,5,"$4,984 "
Toyota Innova 2.0 GX 8 STR,Coimbatore,2014,"85,301",Gasoline,Manual,First,12.40,2000,132.00,8,"$17,352 "
Hyundai Verna 1.6 SX,Chennai,2013,"85,350",Diesel,Manual,Second,22.32,1600,126.32,5,"$8,002 "
Maruti Ritz VDi,Hyderabad,2013,"85,388",Diesel,Manual,First,21.10,1200,73.90,5,"$5,475 "
Maruti Ertiga ZDI,Hyderabad,2016,"85,423",Diesel,Manual,First,20.77,1200,88.80,7,"$12,284 "
Hyundai i10 Era 1.1,Chennai,2008,"85,445",Gasoline,Manual,Second,19.81,1000,68.05,5,"$2,808 "
Maruti Swift Dzire LDI,Kolkata,2016,"85,450",Diesel,Manual,First,26.59,1200,74.00,5,"$5,616 "
Maruti Swift VDI,Hyderabad,2014,"85,512",Diesel,Manual,First,22.90,1200,74.00,5,"$8,143 "
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,"85,670",Diesel,Manual,First,22.70,1400,89.84,5,"$8,774 "
Maruti Ertiga VDI,Coimbatore,2016,"85,827",Diesel,Manual,First,20.77,1200,88.76,7,"$10,529 "
BMW 3 Series 320d,Coimbatore,2013,"85,846",Diesel,Automatic,First,22.69,2000,190.00,5,"$18,363 "
Hyundai Getz GLS,Pune,2005,"86,000",Gasoline,Manual,Second,15.30,1400,83.00,5,$632 
Tata New Safari DICOR 2.2 VX 4x2,Pune,2008,"86,000",Diesel,Manual,Third,13.93,2200,138.00,7,$842 
Maruti Wagon R LX BSII,Delhi,2006,"86,000",Gasoline,Manual,Second,18.90,1000,67.10,5,"$1,404 "
Honda Accord VTi-L MT,Mumbai,2007,"86,000",Gasoline,Manual,Third,11.90,2400,144.00,5,"$2,597 "
Maruti Alto 800 LXI,Jaipur,2013,"86,000",Gasoline,Manual,First,22.74,800,47.30,5,"$3,383 "
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,"86,000",Diesel,Manual,Second,19.50,1200,75.00,5,"$3,510 "
Skoda Fabia 1.4 TDI Active,Mumbai,2009,"86,000",Diesel,Manual,First,19.40,1400,70.00,5,"$3,861 "
Honda Civic 2010-2013 1.8 S MT,Mumbai,2010,"86,000",Gasoline,Manual,First,14.80,1800,130.20,5,"$4,071 "
Toyota Corolla Altis G,Chennai,2008,"86,000",Gasoline,Manual,Second,14.53,1800,138.10,5,"$4,914 "
Maruti Swift Vdi BSIII,Hyderabad,2010,"86,000",Diesel,Manual,Second,17.80,1200,75.00,5,"$5,054 "
Hyundai i10 Asta,Ahmedabad,2011,"86,000",Gasoline,Manual,First,20.36,1200,78.90,5,"$5,265 "
Mahindra XUV500 W8 2WD,Delhi,2014,"86,000",Diesel,Manual,First,15.10,2200,140.00,7,"$11,021 "
Mahindra Scorpio VLX 2WD AT BSIV,Hyderabad,2013,"86,000",Diesel,Automatic,First,11.79,2200,120.00,8,"$11,231 "
Maruti Ertiga VDI,Chennai,2016,"86,000",Diesel,Manual,Second,25.47,1200,88.50,7,"$11,512 "
Hyundai Santa Fe 2WD AT,Delhi,2012,"86,000",Diesel,Automatic,Second,13.01,2200,194.30,7,"$13,337 "
Toyota Fortuner 3.0 Diesel,Delhi,2011,"86,000",Diesel,Manual,First,11.50,3000,171.00,7,"$16,145 "
Volvo XC60 D4 Summum,Hyderabad,2012,"86,000",Diesel,Automatic,Second,14.70,2000,163.00,5,"$25,621 "
Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,2012,"86,000",Diesel,Automatic,First,14.84,2200,170.00,5,"$26,674 "
Mahindra XUV500 W8 2WD,Coimbatore,2014,"86,091",Diesel,Manual,First,15.10,2200,140.00,7,"$14,165 "
Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,"86,157",Diesel,Manual,First,22.54,1400,88.73,5,"$9,125 "
Volkswagen Polo Diesel Trendline 1.2L,Hyderabad,2013,"86,300",Diesel,Manual,First,22.07,1200,73.90,5,"$6,318 "
Toyota Innova 2.5 ZX Diesel 7 Seater,Bangalore,2015,"86,398",Diesel,Manual,First,12.99,2400,100.60,7,"$21,339 "
Tata Manza Aura Quadrajet BS IV,Jaipur,2011,"86,500",Diesel,Manual,Second,21.12,1200,88.80,5,"$2,527 "
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,"86,642",Diesel,Automatic,First,15.17,2000,181.00,5,"$28,598 "
Maruti Swift VXI BSIII,Chennai,2008,"86,700",Gasoline,Manual,Second,16.10,1200,88.20,5,"$3,369 "
Nissan Micra Diesel XV,Hyderabad,2011,"86,732",Diesel,Manual,First,23.08,1400,63.10,5,"$5,054 "
Honda City 1.5 E MT,Jaipur,2009,"86,863",Gasoline,Manual,First,17.00,1400,118.00,5,"$5,054 "
Volvo XC60 D5 Inscription,Kochi,2014,"86,925",Diesel,Automatic,First,11.20,2400,215.00,5,"$24,119 "
Nissan Micra Diesel XV,Jaipur,2013,"86,999",Diesel,Manual,First,23.08,1400,63.10,5,"$4,914 "
Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,"87,000",Gasoline,Manual,Second,15.30,1600,101.00,5,"$1,923 "
Honda Civic 2006-2010 1.8 S MT,Mumbai,2008,"87,000",Gasoline,Manual,First,13.50,1800,130.00,5,"$3,299 "
Maruti SX4 Zxi with Leather BSIII,Chennai,2010,"87,000",Gasoline,Manual,First,15.60,1600,104.68,5,"$3,931 "
Honda Accord 2.4 AT,Mumbai,2011,"87,000",Gasoline,Automatic,First,11.70,2400,177.60,5,"$7,581 "
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,"87,000",Diesel,Automatic,First,22.00,1600,126.20,5,"$8,283 "
Maruti Ertiga VDI,Chennai,2012,"87,000",Diesel,Manual,First,20.77,1200,88.76,7,"$8,423 "
Nissan Terrano XL 85 PS,Bangalore,2014,"87,000",Diesel,Manual,First,20.45,1400,83.80,5,"$9,125 "
BMW 3 Series 320d Luxury Line,Delhi,2019,"87,000",Diesel,Automatic,First,22.69,2000,190.00,5,"$9,364 "
Mahindra Scorpio 2009-2014 SLE 7S BSIV,Bangalore,2014,"87,000",Diesel,Manual,First,12.05,2200,120.00,7,"$10,389 "
Toyota Fortuner 4x2 AT,Mumbai,2012,"87,000",Diesel,Automatic,First,12.55,3000,168.50,7,"$21,059 "
Audi A4 2.0 TDI 177 Bhp Premium Plus,Pune,2013,"87,000",Diesel,Automatic,First,17.11,2000,174.33,5,"$21,760 "
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,2013,"87,000",Diesel,Automatic,Second,19.27,2200,167.62,5,"$23,866 "
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Coimbatore,2011,"87,073",Gasoline,Automatic,First,10.93,2400,204.00,5,"$24,189 "
Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2014,"87,143",Diesel,Manual,First,12.99,2400,100.00,8,"$17,549 "
Maruti Swift VDI BSIV,Chennai,2013,"87,192",Diesel,Manual,First,25.20,1200,74.00,5,"$6,107 "
Mahindra Scorpio S2 7 Seater,Pune,2014,"87,200",Diesel,Manual,First,15.40,2400,75.00,7,"$10,880 "
Mahindra XUV500 W8 2WD,Kolkata,2013,"87,284",Diesel,Manual,First,15.10,2200,140.00,7,"$10,950 "
Honda City 1.5 V MT,Delhi,2010,"87,430",Gasoline,Manual,First,17.00,1400,118.00,5,"$4,914 "
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,"87,459",Gasoline,Manual,First,14.70,1400,85.00,5,"$3,861 "
Renault Fluence Diesel E4,Delhi,2012,"87,510",Diesel,Manual,First,21.80,1400,78.00,5,"$4,900 "
Toyota Corolla Altis G,Delhi,2012,"87,615",Gasoline,Manual,First,14.53,1800,138.10,5,"$9,476 "
Audi Q5 2.0 TDI Premium Plus,Coimbatore,2014,"87,652",Diesel,Automatic,Second,14.16,2000,174.30,5,"$36,094 "
Skoda Laura 1.8 TSI Ambiente,Delhi,2011,"87,670",Gasoline,Manual,First,13.40,1800,157.80,5,"$5,616 "
Mahindra XUV500 W8 2WD,Kochi,2013,"87,736",Diesel,Manual,First,15.10,2200,140.00,7,"$9,855 "
Mahindra XUV500 W10 AWD,Pune,2015,"87,900",Diesel,Manual,First,16.00,2200,140.00,7,"$16,861 "
Nissan Sunny 2011-2014 Diesel XL,Hyderabad,2012,"87,982",Diesel,Manual,First,21.64,1400,84.80,5,"$7,020 "
Skoda Octavia Classic 1.9 TDI MT,Pune,2005,"88,000",Diesel,Manual,Third,18.70,1800,66.00,5,"$1,755 "
Chevrolet Beat Diesel LT,Jaipur,2012,"88,000",Diesel,Manual,First,25.44,1000,57.60,5,"$2,106 "
Maruti Swift Dzire VXI,Mumbai,2012,"88,000",Gasoline,Manual,First,19.10,1200,85.80,5,"$5,405 "
Maruti Swift VDI,Jaipur,2013,"88,000",Diesel,Manual,First,22.90,1200,74.00,5,"$6,079 "
Maruti Swift Dzire VDI,Pune,2013,"88,000",Diesel,Manual,First,23.40,1200,74.00,5,"$6,669 "
Honda Accord 2001-2003 2.3 VTi L AT,Jaipur,2009,"88,000",Gasoline,Automatic,First,11.10,2400,142.00,5,"$7,370 "
Maruti Ertiga ZDI,Mumbai,2012,"88,000",Diesel,Manual,First,20.77,1200,88.80,7,"$8,213 "
Mahindra XUV500 W8 2WD,Delhi,2012,"88,000",Diesel,Manual,First,16.00,2200,140.00,7,"$8,409 "
Toyota Corolla Altis 2008-2013 1.8 VL AT,Pune,2011,"88,000",Gasoline,Automatic,First,14.53,1800,138.10,5,"$9,055 "
Audi A4 2.0 TDI Multitronic,Delhi,2009,"88,000",Diesel,Automatic,First,16.55,2000,140.00,5,"$11,203 "
BMW 3 Series 320d,Hyderabad,2012,"88,000",Diesel,Automatic,First,13.20,2000,170.00,5,"$21,059 "
Audi A4 2.0 TDI Multitronic,Bangalore,2012,"88,000",Diesel,Automatic,First,16.55,2000,140.00,5,"$22,813 "
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2013,"88,000",Diesel,Automatic,First,17.11,2000,174.33,5,"$22,813 "
BMW 5 Series 2013-2017 530d M Sport,Pune,2014,"88,000",Diesel,Automatic,First,14.69,3000,258.00,5,"$37,905 "
Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2012,"88,000",Diesel,Automatic,First,12.07,3000,241.40,7,"$51,242 "
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,"88,008",Diesel,Automatic,Second,12.90,2800,174.50,7,"$31,588 "
Honda CR-V 2.4 AT,Hyderabad,2014,"88,046",Gasoline,Automatic,First,10.10,2400,152.00,5,"$19,641 "
Maruti Swift Dzire VDi,Hyderabad,2009,"88,096",Diesel,Manual,Second,19.30,1200,73.90,5,"$4,914 "
Skoda Octavia 1.9 TDI,Pune,2008,"88,123",Diesel,Manual,First,18.70,1800,66.00,5,"$3,089 "
Honda City 1.5 S MT,Coimbatore,2012,"88,381",Gasoline,Manual,First,17.00,1400,118.00,5,"$7,370 "
Mahindra XUV500 W8 4WD,Hyderabad,2015,"88,428",Diesel,Manual,First,16.00,2200,140.00,7,"$14,881 "
Maruti Alto K10 VXI,Hyderabad,2014,"88,500",Gasoline,Manual,First,24.07,1000,67.10,5,"$3,650 "
Maruti Ritz ZDi,Hyderabad,2014,"88,500",Diesel,Manual,First,23.20,1200,73.94,5,"$6,107 "
Mahindra XUV500 W6 2WD,Jaipur,2014,"88,511",Diesel,Manual,First,16.00,2200,140.00,7,"$11,582 "
Maruti Ritz LDi,Coimbatore,2011,"88,539",Diesel,Manual,First,23.20,1200,73.94,5,"$5,293 "
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,"88,578",Gasoline,Manual,First,13.50,1800,130.00,5,"$5,545 "
Nissan Micra XV CVT,Chennai,2013,"89,000",Gasoline,Automatic,Second,19.34,1200,76.00,5,"$3,931 "
Toyota Corolla Executive (HE),Chennai,2007,"89,000",Gasoline,Manual,First,13.40,1800,125.00,5,"$4,212 "
Honda City V MT AVN,Pune,2012,"89,000",Gasoline,Manual,Second,16.80,1400,116.30,5,"$4,914 "
Honda City 1.5 V AT Exclusive,Jaipur,2009,"89,000",Gasoline,Automatic,First,17.00,1400,118.00,5,"$5,208 "
Toyota Corolla Altis VL,Delhi,2008,"89,000",Gasoline,Automatic,First,14.53,1800,138.10,5,"$5,616 "
Chevrolet Captiva LTZ VCDi,Pune,2009,"89,000",Diesel,Automatic,First,12.50,2000,147.90,7,"$5,616 "
Hyundai i10 Asta Sunroof AT,Hyderabad,2013,"89,000",Gasoline,Automatic,First,19.20,1200,80.00,5,"$5,882 "
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2009,"89,000",Gasoline,Manual,First,13.50,1800,130.00,5,"$5,967 "
Maruti Swift VDI BSIV,Hyderabad,2014,"89,000",Diesel,Manual,First,25.20,1200,74.00,5,"$8,213 "
Hyundai Verna 1.6 SX CRDi (O),Pune,2012,"89,000",Diesel,Manual,First,22.32,1600,126.32,5,"$8,423 "
BMW 3 Series 320d Corporate Edition,Chennai,2008,"89,000",Diesel,Automatic,Second,16.07,2000,181.00,4,"$8,845 "
Hyundai Verna 1.6 VTVT S,Jaipur,2015,"89,000",Gasoline,Manual,First,17.01,1600,121.30,5,"$10,529 "
Mahindra XUV500 W10 2WD,Chennai,2016,"89,000",Diesel,Manual,First,16.00,2200,140.00,7,"$18,953 "
BMW 3 Series 320d,Hyderabad,2011,"89,000",Diesel,Automatic,First,22.69,2000,190.00,5,"$19,584 "
BMW 5 Series 2003-2012 525d,Mumbai,2011,"89,000",Diesel,Automatic,First,16.73,2000,218.00,5,"$23,263 "
Volvo XC90 2007-2015 D5 AWD,Kochi,2014,"89,230",Diesel,Manual,First,11.10,2400,200.00,7,"$33,202 "
Ford Fiesta 1.4 TDCi EXI,Chennai,2006,"89,326",Diesel,Manual,Third,17.80,1400,68.00,5,"$2,176 "
Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,"89,327",Diesel,Manual,Third,17.80,1400,68.00,5,"$2,176 "
Toyota Corolla Altis Diesel D4DJ,Delhi,2011,"89,401",Diesel,Manual,First,21.43,1400,87.20,5,"$6,318 "
Honda Amaze S i-Dtech,Delhi,2013,"89,429",Diesel,Manual,First,25.80,1400,98.60,5,"$5,124 "
Toyota Fortuner 4x2 AT,Delhi,2014,"89,540",Diesel,Automatic,First,12.55,3000,168.50,7,"$23,586 "
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,"89,614",Diesel,Manual,First,22.00,1600,126.20,5,"$8,437 "
BMW 3 Series 320d Sedan,Chennai,2011,"89,616",Diesel,Automatic,First,16.07,2000,181.00,5,"$15,443 "
Mahindra Scorpio DX 2.6 Turbo 8 Str,Mumbai,2006,"89,869",Diesel,Manual,First,12.70,2800,116.60,8,"$4,563 "
Maruti Wagon R LXI CNG,Pune,2013,"89,900",CNG,Manual,First,26.60,1000,58.16,5,"$4,563 "
Maruti Zen VXi - BS III,Jaipur,2000,"90,000",Gasoline,Manual,Second,17.30,1000,60.00,5,$983 
Maruti Wagon R LX BSIII,Pune,2007,"90,000",Gasoline,Manual,Second,17.30,1000,64.00,5,"$1,741 "
Maruti Alto LXi,Delhi,2008,"90,000",Gasoline,Manual,Second,19.70,800,46.30,5,"$1,755 "
Ford Figo Diesel EXI,Jaipur,2010,"90,000",Diesel,Manual,Second,20.00,1400,68.00,5,"$1,965 "
Ford Ikon 1.3 Flair,Chennai,2007,"90,000",Gasoline,Manual,Second,13.80,1200,70.00,5,"$1,965 "
Hyundai Getz GVS,Mumbai,2005,"90,000",Gasoline,Manual,Second,15.30,1400,61.00,5,"$2,527 "
Hyundai Verna CRDi,Hyderabad,2008,"90,000",Diesel,Manual,Second,16.80,1400,110.00,5,"$3,159 "
Tata Indica Vista TDI LX,Jaipur,2012,"90,000",Diesel,Manual,First,19.40,1400,70.00,5,"$3,510 "
Ford Figo Diesel ZXI,Chennai,2010,"90,000",Diesel,Manual,First,20.00,1400,68.00,5,"$3,650 "
Mahindra Scorpio 2.6 SLX CRDe,Bangalore,2005,"90,000",Diesel,Manual,First,10.50,2200,120.00,8,"$3,650 "
Tata New Safari Dicor EX 4X2,Kolkata,2011,"90,000",Diesel,Manual,Second,13.93,2200,138.10,7,"$3,861 "
Hyundai i10 Sportz,Pune,2014,"90,000",Gasoline,Manual,Second,20.36,1200,78.90,5,"$3,931 "
Maruti Swift Dzire VDi,Pune,2009,"90,000",Diesel,Manual,Second,19.30,1200,73.90,5,"$4,212 "
Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,"90,000",Diesel,Manual,Fourth,10.90,2400,143.00,7,"$4,212 "
Mahindra Verito 1.5 D4 BSIV,Pune,2015,"90,000",Diesel,Manual,Second,21.03,1400,65.00,5,"$4,352 "
